City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Weligama,LK,2020-12-29 23:57:03,5.97,80.42,74.39,85,1,8.08
70,Cockburn Town,TC,2020-12-30 00:00:23,21.46,-71.14,77.0,69,40,8.05
71,Saskylakh,RU,2020-12-30 00:00:24,71.92,114.08,-23.69,85,99,12.39
72,Vaini,TO,2020-12-30 00:00:24,-21.2,-175.2,80.6,83,90,8.05
73,Kaitangata,NZ,2020-12-30 00:00:25,-46.28,169.85,63.0,68,100,8.99
74,Cape Town,ZA,2020-12-30 00:00:25,-33.93,18.42,64.0,82,0,9.17
75,Nikolayevskaya,RU,2020-12-30 00:00:25,47.61,41.5,29.61,96,23,10.38
76,Hithadhoo,MV,2020-12-30 00:00:26,-0.6,73.08,81.95,77,93,8.9
77,Hammerfest,NO,2020-12-30 00:00:27,70.66,23.68,33.8,74,0,26.4
78,Nishihara,JP,2020-12-30 00:00:27,26.18,127.76,60.8,63,90,34.45
79,Homer,US,2020-12-30 00:00:28,59.64,-151.55,42.8,56,90,12.75
80,Thompson,CA,2020-12-30 00:00:29,55.74,-97.86,6.8,84,75,6.93
81,Rudbar,AF,2020-12-30 00:00:29,30.15,62.6,35.65,62,7,1.63
82,Kuah,MY,2020-12-30 00:00:30,6.33,99.84,75.2,94,20,9.98
83,Ponta Do Sol,PT,2020-12-30 00:00:30,32.67,-17.1,59.0,72,75,8.05
84,San Cristobal,VE,2020-12-30 00:00:30,7.77,-72.22,77.0,73,40,9.17
85,Sur,OM,2020-12-30 00:00:31,22.57,59.53,66.74,53,0,6.55
86,Hasaki,JP,2020-12-30 00:00:31,35.73,140.83,55.4,87,75,6.93
87,New Norfolk,AU,2020-12-30 00:00:31,-42.78,147.06,73.0,46,59,1.99
88,Arraial Do Cabo,BR,2020-12-29 23:56:01,-22.97,-42.03,78.8,74,0,11.41
89,Sibolga,ID,2020-12-30 00:00:32,1.74,98.78,75.43,86,100,2.62
90,Evensk,RU,2020-12-30 00:00:32,61.95,159.23,-1.62,84,100,14.74
91,Avigliano,IT,2020-12-30 00:00:32,40.73,15.72,46.0,80,73,1.01
92,Rio Bravo,MX,2020-12-30 00:00:32,25.98,-98.1,78.8,47,5,19.57
