City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Tulum,MX,75.2,broken clouds,20.2167,-87.4667,Kin Ha Tulum
571,Port Macquarie,AU,82.99,few clouds,-31.4333,152.9167,Rydges Port Macquarie
573,Corn Island,NI,80.92,overcast clouds,12.1694,-83.0418,Big Fish Guest House
577,Kudahuvadhoo,MV,82.53,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
585,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
586,Feijo,BR,75.33,moderate rain,-8.1642,-70.3536,Hotel e Restaurante Aҫai
590,Ambon,ID,87.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
593,Bonthe,SL,80.01,clear sky,7.5264,-12.505,Bonthe Holiday Village
600,Kununurra,AU,89.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
604,Buchanan,LR,75.2,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
605,Colon,PA,79.0,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
609,Inverell,AU,81.19,light rain,-29.7833,151.1167,Sapphire City Motor Inn
615,Lazaro Cardenas,MX,75.88,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
623,Kaeo,NZ,76.48,overcast clouds,-35.1,173.7833,Bushido Lodge
635,Iquitos,PE,77.0,shower rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
641,Ipixuna,BR,80.6,thunderstorm,-1.7625,-48.8043,Casa da Oscarina
642,Bacungan,PH,77.0,broken clouds,9.9106,118.7022,Sumayang Property
653,Namatanai,PG,78.06,moderate rain,-3.6667,152.4333,Namatanai Hotel
656,Altamira,BR,75.2,broken clouds,-3.2033,-52.2064,Requinte Hotel
668,Acapulco,MX,80.6,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
