City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Porto Novo,BJ,6.4965,2.6036,82.4,88,40,9.17,scattered clouds
79,Lermontovka,RU,47.1453,134.3383,-8.84,85,93,4.47,overcast clouds
80,Kirakira,SB,-10.4544,161.9205,87.46,57,100,7.09,overcast clouds
81,Sabha,LY,27.0377,14.4283,56.52,54,1,12.06,clear sky
82,Grand-Santi,GF,4.25,-54.3833,72.72,97,32,2.59,scattered clouds
83,Bacolod,PH,10.6667,122.95,83.19,71,0,13.73,light rain
84,Albany,US,42.6001,-73.9662,33.01,79,95,3.98,overcast clouds
85,Clyde River,CA,70.4692,-68.5914,-27.4,74,40,5.82,scattered clouds
86,Atar,MR,20.5169,-13.0499,70.66,38,100,2.93,overcast clouds
87,Port Hardy,CA,50.6996,-127.4199,42.8,87,90,25.28,moderate rain
88,Pevek,RU,69.7008,170.3133,-12.35,90,100,8.37,light snow
89,Kruisfontein,ZA,-34.0033,24.7314,68.0,89,18,1.01,few clouds
90,Pisco,PE,-13.7,-76.2167,71.6,83,0,13.87,clear sky
91,Karrapur,IN,23.95,78.85,65.7,41,82,2.86,broken clouds
92,Carnarvon,AU,-24.8667,113.6333,84.2,54,68,17.22,broken clouds
93,East London,ZA,-33.0153,27.9116,71.24,75,56,12.75,broken clouds
94,Georgetown,MY,5.4112,100.3354,75.99,94,40,4.7,moderate rain
95,Fortuna,US,40.5982,-124.1573,53.01,62,90,5.57,overcast clouds
96,Honningsvag,NO,70.9821,25.9704,40.01,79,92,25.12,overcast clouds
97,Kapaa,US,22.0752,-159.319,78.8,65,75,13.87,broken clouds
98,Aklavik,CA,68.2191,-135.0107,-18.4,75,95,3.36,overcast clouds
99,Kaitangata,NZ,-46.2817,169.8464,63.0,80,69,11.01,broken clouds
100,Arraial Do Cabo,BR,-22.9661,-42.0278,75.81,91,66,16.78,broken clouds
101,Pulandian,CN,39.3953,121.9669,23.0,85,75,6.71,light snow
102,Raub,MY,3.7899,101.857,73.45,90,100,3.0,very heavy rain
103,Avrille,FR,47.5,-0.5833,36.0,93,90,2.24,overcast clouds
104,Kavaratti,IN,10.5669,72.642,82.81,70,95,4.9,overcast clouds
105,Kapit,MY,2.0167,112.9333,79.59,81,33,1.43,scattered clouds
106,Ponta Do Sol,PT,32.6667,-17.1,64.4,82,40,8.05,light rain
107,Lagoa,PT,39.05,-27.9833,57.31,73,100,41.07,overcast clouds
108,Grand Gaube,MU,-20.0064,57.6608,73.0,87,43,3.0,light rain
109,Angoche,MZ,-16.2325,39.9086,78.08,88,89,5.1,overcast clouds
110,Rocha,UY,-34.4833,-54.3333,69.33,87,38,12.15,light rain
111,Dikson,RU,73.5069,80.5464,19.71,97,100,27.56,overcast clouds
112,Haines Junction,CA,60.7522,-137.5108,11.71,92,100,2.66,light snow
113,Mersing,MY,2.4312,103.8405,73.4,94,40,1.12,scattered clouds
114,Baraboo,US,43.4711,-89.7443,24.8,100,75,0.98,fog
115,Jaciara,BR,-15.9653,-54.9683,75.22,78,99,2.62,light rain
116,Takoradi,GH,4.8845,-1.7554,79.23,87,100,9.4,overcast clouds
117,Ewo,CG,-0.8725,14.8206,74.41,79,17,0.49,light rain
118,Santa Fe,AR,-31.6333,-60.7,77.0,63,0,8.01,clear sky
119,Lavrentiya,RU,65.5833,-171.0,-12.98,83,23,12.66,few clouds
120,Sao Miguel,BR,-5.4667,-35.3667,80.6,78,20,6.93,few clouds
121,Solvychegodsk,RU,61.3305,46.9156,5.52,94,38,4.74,scattered clouds
122,Madang,PG,-5.2246,145.7966,88.81,58,45,1.16,scattered clouds
123,Catuday,PH,16.2923,119.8062,79.39,77,7,7.54,clear sky
124,Olafsvik,IS,64.8945,-23.7142,36.21,78,0,20.65,heavy intensity rain
125,Alta Floresta,BR,-9.8756,-56.0861,73.17,91,76,1.74,broken clouds
126,Kadaya,RU,50.9327,119.2911,-25.1,82,71,3.96,broken clouds
127,Lompoc,US,34.6391,-120.4579,60.8,63,1,10.29,clear sky
128,Predivinsk,RU,57.0669,93.4378,-17.84,86,100,4.97,overcast clouds
129,Bhawanigarh,IN,30.2667,76.035,54.99,92,0,1.43,light rain
130,Fomboni,KM,-12.28,43.7425,83.21,70,80,9.57,light rain
131,Ocos,GT,14.5094,-92.1933,82.4,88,5,5.82,light rain
132,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,75,75,5.82,broken clouds
133,Pacific Grove,US,36.6177,-121.9166,55.0,81,1,6.93,clear sky
134,Cabadiangan,PH,9.7531,122.4739,82.9,70,1,13.09,clear sky
135,Moree,AU,-29.4667,149.85,71.6,78,90,5.82,light rain
136,Avarua,CK,-21.2078,-159.775,86.0,70,50,16.11,scattered clouds
137,Cayenne,GF,4.9333,-52.3333,75.2,100,0,8.7,clear sky
138,Nara,JP,34.6851,135.8049,46.99,60,40,4.7,scattered clouds
139,Taldan,RU,53.6667,124.8,-26.63,79,88,5.66,overcast clouds
140,Nikolskoye,RU,59.7035,30.7861,26.6,92,90,8.95,overcast clouds
141,Port Alfred,ZA,-33.5906,26.891,66.0,92,79,9.6,broken clouds
142,Yulara,AU,-25.2406,130.9889,75.2,33,95,18.34,overcast clouds
143,San Cristobal,VE,7.7669,-72.225,64.29,87,53,1.52,broken clouds
144,Geraldton,AU,-28.7667,114.6,86.0,17,100,29.97,overcast clouds
145,Storrs,US,41.8084,-72.2495,34.0,80,90,5.82,overcast clouds
146,Victoria,HK,22.2855,114.1577,60.01,44,83,8.99,broken clouds
147,Atuona,PF,-9.8,-139.0333,77.5,79,100,15.88,overcast clouds
148,Stabat,ID,3.761,98.4513,75.2,100,75,5.82,light rain
149,Alice Springs,AU,-23.7,133.8833,77.0,36,10,17.22,clear sky
150,Mehamn,NO,71.0357,27.8492,33.85,92,79,17.87,light snow
151,Sambava,MG,-14.2667,50.1667,75.09,87,94,6.73,overcast clouds
152,Dwarka,IN,22.2394,68.9678,65.37,57,0,12.26,clear sky
153,Itapirapua,BR,-15.8233,-50.6133,76.19,69,36,1.63,scattered clouds
154,Copiapo,CL,-27.3667,-70.3333,62.6,77,0,9.17,clear sky
155,Buraydah,SA,26.326,43.975,55.4,93,20,5.82,few clouds
156,Pundaguitan,PH,6.3711,126.1689,79.83,84,100,13.09,light rain
157,Cidreira,BR,-30.1811,-50.2056,72.19,90,100,11.95,light rain
158,Kaduna,NG,10.5222,7.4383,72.9,21,0,8.32,clear sky
159,Panzhihua,CN,26.5851,101.7128,45.0,73,96,0.96,overcast clouds
160,Havelian,PK,34.0536,73.1657,42.8,100,40,4.7,light rain
161,Half Moon Bay,US,37.4636,-122.4286,53.6,87,1,3.33,mist
162,Coahuayana,MX,18.7333,-103.6833,78.8,57,40,2.13,scattered clouds
163,Tevaitoa,PF,-16.7833,-151.5,81.28,73,11,12.66,few clouds
164,Naze,JP,28.3667,129.4833,60.8,62,75,14.99,broken clouds
165,Mananjary,MG,-21.2167,48.3333,73.94,86,100,3.36,overcast clouds
166,Luocheng,CN,29.3848,104.0286,42.8,82,100,1.95,overcast clouds
167,Ouallam,NE,14.3188,2.0866,76.69,19,0,6.73,clear sky
168,Svetlyy,RU,54.675,20.1347,33.8,100,90,11.18,mist
169,Aykhal,RU,66.0,111.5,-0.4,84,90,2.24,light shower snow
170,Plainview,US,40.7765,-73.4673,39.99,64,90,5.82,overcast clouds
171,College,US,64.8569,-147.8028,-4.0,83,20,2.73,few clouds
172,Boende,CD,-0.2167,20.8667,72.21,89,100,1.54,overcast clouds
173,Honggang,CN,46.4667,124.8667,-4.16,90,100,7.31,overcast clouds
174,Mapiri,BO,-15.25,-68.1667,69.39,89,100,1.83,light rain
175,Gorahun,SL,7.4661,-11.2375,73.35,98,2,0.0,clear sky
176,Penzance,GB,50.1186,-5.5371,37.0,80,29,18.34,scattered clouds
177,Pinega,RU,64.7001,43.3936,4.35,95,77,3.44,broken clouds
178,Mount Pleasant,US,32.7941,-79.8626,53.01,93,1,9.75,clear sky
179,Zambezi,ZM,-13.5432,23.1047,65.61,95,55,2.44,broken clouds
180,Verkhoyansk,RU,67.5447,133.385,-35.21,78,13,2.33,few clouds
181,Hrusovany Nad Jevisovkou,CZ,48.8299,16.4027,39.0,100,99,1.99,overcast clouds
182,Soledad,CO,10.9184,-74.7646,78.8,83,75,13.87,broken clouds
183,Bambous Virieux,MU,-20.3428,57.7575,75.2,88,40,8.05,scattered clouds
184,Doctor Juan Manuel Frutos,PY,-25.3667,-55.8,69.55,99,89,3.47,overcast clouds
185,Nouadhibou,MR,20.931,-17.0347,68.0,82,100,3.36,overcast clouds
186,Seydi,TM,39.4816,62.9137,27.34,78,100,4.18,overcast clouds
187,Mangan,IN,27.5167,88.5333,58.57,38,31,4.5,scattered clouds
188,Iqaluit,CA,63.7506,-68.5145,21.2,92,90,21.92,light snow
189,Katsuura,JP,35.1333,140.3,46.0,69,100,8.99,overcast clouds
190,Liverpool,GB,53.4106,-2.9779,36.0,93,43,9.17,scattered clouds
191,Vega De Alatorre,MX,20.0333,-96.6333,71.37,84,75,1.7,light rain
